Agency type,Agency,Population,Total Offenses,Crimes Against Persons,Crimes Against Property,Crimes Against Society,"Assault
Offenses","Aggravated
Assault","Simple
Assault",Intimidation,"Homicide
Offenses","Murder and
Nonnegligent
Manslaughter","Negligent
Man-
slaughter","Justifiable
Homicide","Human
Trafficking
Offenses","Commercial
Sex Acts","Involuntary
Servitude","Kidnapping/
Abduction","Sex
Offenses",Rape,Sodomy,"Sexual
Assault
With an
Object","Criminal
Sexual
Contact2",Incest,"Statutory
Rape",Arson,Bribery,"Burglary/
Breaking &
Entering","Counterfiting/
Forgery","Destruction/
Damage/
Vandalism
of Property",Embezzlement,"Extortion/
Blackmail","Fraud
Offenses","False
Pretenses/
Swindle/
Confidence
Game","Credit
Card/
Automated
Teller
Machine
Fraud",Impersonation,"Welfare
Fraud","Wire
Fraud","Identity 
Theft","Hacking/
Computer 
Invasion","Larceny/
Theft
Offenses",Pocketpicking,Purse snatching,"Shop 
lifting","Theft
From
Building","Theft
From
Coin Op-
erated
Machine
or Device","Theft
From
Motor
Vehicle","Theft of 
Motor 
Vehicle
Parts or
Acces-
sories","All
Other
Larceny","Motor
Vehicle
Theft",Robbery,"Stolen
Property
Offenses","Animal 
Cruelty","Drug/
Narcotic
Offenses","Drug/
Narcotic
Violations","Drug
Equipment
Violations","Gambling
Offenses","Betting/
Wagering","Operating/
Promoting/
Assisting
Gambling","Gambling
Equipment
Violations","Sports
Tampering","Pornography/
Obscene
Material","Prostitution
Offenses",Prostitution,"Assisting or
Promoting
Prostitution","Purchasing
Prostitution","Weapon
Law
Violations"
Cities,Abernathy,2792,25,7,5,13,5,0,5,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,13,12,1,0,0,0,0,0,0,0,0,0,0,0
,Abilene,128387,7636,2832,3616,1188,2667,393,1981,293,7,6,1,0,0,0,0,8,150,68,27,16,39,0,0,3,0,394,64,678,24,0,555,254,159,3,1,1,137,0,1680,3,0,395,413,5,361,70,433,156,62,0,7,880,706,174,0,0,0,0,0,125,6,1,3,2,170
,Addison,17527,2396,461,1647,288,428,33,326,69,3,3,0,0,1,1,0,17,12,8,1,0,3,0,0,1,0,78,22,190,0,0,121,28,30,3,0,0,59,1,827,5,1,10,13,0,231,181,386,390,18,0,2,243,125,118,0,0,0,0,0,0,1,1,0,0,42
,Alamo,20640,1685,257,1100,328,214,99,65,50,1,1,0,0,0,0,0,13,29,11,1,4,13,0,0,2,0,96,20,184,0,0,4,3,1,0,0,0,0,0,727,0,0,0,0,0,154,0,573,63,4,0,0,313,177,136,0,0,0,0,0,1,0,0,0,0,14
,Alamo Heights,7609,389,23,238,128,23,2,16,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,28,0,0,21,2,1,0,0,0,18,0,151,0,0,34,0,0,48,9,60,19,1,0,0,122,27,95,0,0,0,0,0,2,0,0,0,0,4
,Alba,502,23,10,4,9,10,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,9,3,6,0,0,0,0,0,0,0,0,0,0,0
,Alice,17622,1636,592,739,305,560,95,355,110,1,1,0,0,0,0,0,11,20,12,3,1,4,0,0,2,0,104,43,182,0,0,24,24,0,0,0,0,0,0,336,0,0,0,3,0,67,2,264,39,8,1,0,265,231,34,0,0,0,0,0,5,0,0,0,0,35
,Allen,114696,2745,556,1605,584,497,87,344,66,14,13,1,0,4,3,1,6,35,20,2,1,12,0,0,1,0,86,55,136,16,10,393,63,83,46,0,47,135,19,755,2,1,234,112,0,187,104,115,108,11,34,11,412,368,44,0,0,0,0,0,97,7,6,1,0,57
,Alma,414,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Alpine,5869,29,21,8,0,21,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Alton,20357,714,225,412,77,220,134,24,62,1,1,0,0,0,0,0,0,4,2,0,0,2,0,0,1,0,77,6,116,1,0,22,8,6,8,0,0,0,0,158,2,0,12,6,0,28,5,105,22,9,0,0,68,47,21,0,0,0,0,0,1,0,0,0,0,8
,Alvarado,6473,329,106,142,81,93,14,73,6,0,0,0,0,0,0,0,3,10,5,0,0,5,0,0,0,0,12,5,32,2,0,18,4,7,0,0,0,6,1,59,0,0,8,0,0,6,5,40,10,2,2,4,62,20,42,0,0,0,0,0,2,1,1,0,0,12
,Alvin,28742,1382,451,700,231,431,32,367,32,1,1,0,0,0,0,0,1,18,11,3,1,3,0,0,1,0,52,20,97,0,0,109,16,39,3,0,3,47,1,345,0,0,114,6,0,52,3,170,50,7,19,3,196,130,66,0,0,0,0,0,6,0,0,0,0,26
,Amarillo,201684,17350,5768,9640,1942,5237,1080,3546,611,20,16,0,4,0,0,0,246,265,125,22,21,97,0,0,41,0,932,196,1795,70,0,1035,277,494,1,0,2,259,2,4680,1,5,1332,292,20,1467,217,1346,683,204,4,36,1609,890,719,29,1,19,9,0,31,21,21,0,0,216
,Andrews,13157,544,140,276,128,127,43,62,22,0,0,0,0,0,0,0,4,9,7,0,0,2,0,0,1,0,22,9,66,0,0,1,1,0,0,0,0,0,0,151,0,0,2,0,0,25,2,122,26,0,0,0,111,68,43,0,0,0,0,0,3,3,2,1,0,11
,Angleton,19703,1011,347,492,172,314,39,214,61,1,0,1,0,0,0,0,4,28,8,2,1,17,0,0,0,0,45,29,83,0,1,127,86,39,0,0,0,0,2,188,1,0,35,0,1,40,0,111,17,2,0,3,145,76,69,1,1,0,0,0,2,1,0,1,0,20
,Anna,27436,794,194,392,208,170,36,91,43,0,0,0,0,0,0,0,4,20,7,5,3,5,0,0,1,0,36,14,62,0,0,54,24,19,11,0,0,0,0,201,0,2,0,1,0,46,14,138,21,3,0,3,186,154,32,0,0,0,0,0,3,0,0,0,0,16
,Anthony,3853,399,81,67,251,74,6,46,22,0,0,0,0,0,0,0,1,6,2,1,0,3,0,0,1,0,4,0,23,0,0,5,2,2,1,0,0,0,0,27,1,0,4,1,0,4,1,16,7,0,0,1,241,202,39,0,0,0,0,0,1,0,0,0,0,8
,Aransas Pass,8843,527,177,258,92,166,23,124,19,0,0,0,0,0,0,0,2,9,7,0,0,2,0,0,1,0,31,4,30,0,0,26,13,9,4,0,0,0,0,135,5,0,24,4,0,22,2,78,27,4,0,0,76,76,0,3,0,2,1,0,1,0,0,0,0,12
,Archer City,1613,36,1,12,23,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,1,19,19,0,0,0,0,0,0,1,0,0,0,0,2
,Arcola,2331,118,33,64,21,29,8,13,8,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,9,2,13,0,0,5,1,3,0,0,0,1,0,23,0,0,0,0,0,2,0,21,12,0,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,7
,Argyle,6120,112,21,49,42,20,4,11,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,3,7,0,0,9,3,2,0,0,0,4,0,20,0,0,0,0,0,7,0,13,3,0,0,0,34,20,14,0,0,0,0,0,1,0,0,0,0,7
,Arlington,394799,26761,8214,14318,4229,7723,1395,5101,1227,20,16,3,1,14,13,1,19,438,246,33,9,149,1,0,12,3,1061,330,2067,0,0,1440,290,531,12,4,4,599,0,7590,22,14,1358,169,8,1863,551,3605,1580,234,1,0,3387,2590,797,128,5,16,107,0,81,100,65,12,23,533
,Arp,984,40,10,20,10,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,2,0,2,0,0,0,0,0,11,0,0,0,1,0,0,1,9,1,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,1
,Athens,13068,644,193,404,47,172,35,99,38,2,1,1,0,0,0,0,1,18,9,1,2,6,0,0,1,0,49,10,69,0,0,25,13,7,2,0,2,1,0,224,1,2,26,7,1,17,1,169,19,6,1,1,35,35,0,0,0,0,0,0,7,0,0,0,0,4
,Atlanta,5427,139,46,88,5,45,5,35,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,11,1,13,0,0,2,0,2,0,0,0,0,0,57,0,0,0,0,0,6,0,51,4,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,2
,Aubrey,9712,436,173,207,56,163,15,133,15,1,1,0,0,0,0,0,6,3,2,0,0,1,0,0,0,0,49,3,22,0,0,33,9,5,0,0,1,17,1,79,0,0,2,4,0,10,1,62,12,6,3,6,33,32,1,0,0,0,0,0,2,0,0,0,0,15
,Austin,978816,70295,18517,46028,5750,17354,3449,9364,4541,81,66,9,6,8,2,6,253,821,327,48,117,329,0,0,147,3,4345,782,6303,13,30,5287,1624,2218,1445,0,0,0,0,21194,814,9,1687,123,20,8427,1562,8552,7003,916,5,281,4146,3170,976,9,8,1,0,0,290,58,41,3,14,966
,Azle,14228,717,202,315,200,181,29,134,18,0,0,0,0,0,0,0,1,20,13,0,2,5,0,0,1,0,34,9,46,0,0,35,19,13,2,0,0,1,0,174,6,1,81,11,0,24,4,47,13,3,0,1,185,73,112,0,0,0,0,0,2,0,0,0,0,12
,Balch Springs,26776,1586,307,1181,98,270,87,144,39,5,5,0,0,1,0,1,10,21,6,3,0,12,0,0,0,0,126,24,215,0,0,60,35,16,6,0,1,1,1,455,3,3,131,10,1,112,11,184,270,31,0,1,63,62,1,2,1,0,1,0,3,1,0,0,1,28
,Balcones Heights,2695,639,112,402,125,108,37,65,6,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,1,0,32,10,70,0,0,36,2,6,27,0,1,0,0,188,3,2,79,2,1,50,6,45,58,3,4,0,114,64,50,0,0,0,0,0,0,0,0,0,0,11
,Ballinger,3546,113,36,69,8,32,8,24,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,1,0,17,2,13,0,0,10,2,1,2,1,3,1,0,21,0,0,6,4,0,3,1,7,5,0,0,0,8,7,1,0,0,0,0,0,0,0,0,0,0,0
,Bangs,1533,26,17,7,2,17,1,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,1,0,0,1,0,0,2,0,0,0,1,0,0,0,1,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
,Bastrop,11961,1080,241,658,181,231,43,160,28,0,0,0,0,0,0,0,0,10,7,0,0,3,0,0,0,1,46,54,133,0,0,36,12,17,7,0,0,0,0,321,1,0,117,2,1,74,12,114,62,5,0,0,165,84,81,0,0,0,0,0,3,0,0,0,0,13
,Bay City,17247,1472,420,759,293,408,77,287,44,2,2,0,0,0,0,0,3,7,4,1,0,2,0,0,7,0,90,28,122,1,0,103,27,45,0,7,0,24,0,374,0,0,63,23,1,56,9,222,29,5,0,0,265,173,92,0,0,0,0,0,2,0,0,0,0,26
,Baytown,83809,5841,1533,3511,797,1446,222,981,243,3,2,1,0,4,2,2,5,75,45,9,0,21,0,0,3,0,400,15,426,0,1,258,63,80,47,0,6,62,0,1827,0,0,220,81,9,441,100,976,499,65,17,5,610,296,314,5,1,1,3,0,7,13,11,2,0,157
,Beaumont,110671,11379,4500,5613,1266,4235,1160,2399,676,17,17,0,0,1,1,0,74,173,82,28,13,50,0,0,19,0,637,149,926,0,1,470,47,214,3,0,0,199,7,2666,5,1,570,90,1,876,81,1042,388,225,132,14,875,768,107,4,0,4,0,0,25,1,0,1,0,347
,Bedford,48193,2692,532,1376,784,488,69,340,79,0,0,0,0,1,1,0,4,39,25,4,1,9,0,0,0,0,88,21,142,0,0,220,38,58,4,0,0,118,2,786,1,2,305,64,0,151,79,184,99,17,3,2,690,358,332,0,0,0,0,0,5,6,3,1,2,81
,Bee Cave,8704,455,42,305,108,35,12,14,9,0,0,0,0,0,0,0,2,5,5,0,0,0,0,0,0,0,16,9,34,0,0,17,5,10,2,0,0,0,0,201,0,0,15,1,0,48,0,137,25,3,0,0,104,29,75,0,0,0,0,0,0,0,0,0,0,4
,Beeville,13176,876,219,524,133,210,43,150,17,0,0,0,0,0,0,0,2,7,4,2,1,0,0,0,7,0,82,9,126,0,0,33,13,12,2,0,1,5,0,231,0,0,81,19,0,29,1,101,13,3,20,0,127,100,27,1,0,1,0,0,0,0,0,0,0,5
,Bellaire,16894,831,57,540,234,56,9,34,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,46,8,56,0,1,91,77,14,0,0,0,0,0,283,0,0,14,0,0,78,2,189,50,5,0,1,148,81,67,0,0,0,0,0,0,0,0,0,0,85
,Bellmead,10615,732,179,432,121,164,17,109,38,0,0,0,0,4,0,4,2,9,7,0,0,2,0,0,3,2,23,12,53,0,0,35,12,14,0,0,0,9,0,255,0,1,129,6,1,28,2,88,43,6,0,0,87,86,1,0,0,0,0,0,3,4,3,1,0,27
,Bells,1574,10,2,7,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
,Bellville,4215,182,51,85,46,47,8,22,17,0,0,0,0,0,0,0,1,3,2,1,0,0,0,0,0,0,8,6,20,0,0,8,3,1,4,0,0,0,0,30,0,0,8,0,0,4,0,18,12,1,0,0,39,35,4,0,0,0,0,0,0,0,0,0,0,7
,Belton,24946,1683,428,839,416,390,26,309,55,1,1,0,0,0,0,0,5,32,17,1,0,14,0,0,2,0,57,48,144,0,0,114,64,33,14,0,3,0,0,424,64,0,187,11,0,67,23,72,48,2,0,0,372,215,157,0,0,0,0,0,1,0,0,0,0,43
,Benbrook,24425,1187,204,652,331,191,43,127,21,4,4,0,0,0,0,0,0,9,8,0,0,1,0,0,0,0,34,18,53,0,0,49,16,10,0,0,0,22,1,446,1,0,292,1,0,45,4,103,42,10,0,2,288,109,179,0,0,0,0,0,7,0,0,0,0,34
,Bertram,2247,59,15,11,33,13,3,10,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,0,1,0,0,1,0,0,0,0,0,1,0,4,0,0,1,0,0,0,0,3,0,0,1,0,30,15,15,0,0,0,0,0,0,0,0,0,0,3
,Beverly Hills,1870,218,50,75,93,47,14,17,16,0,0,0,0,0,0,0,1,2,0,1,0,1,0,0,1,0,11,9,13,0,0,4,2,2,0,0,0,0,0,31,0,0,0,1,0,5,1,24,4,2,0,0,85,31,54,0,0,0,0,0,2,0,0,0,0,6
,Big Sandy,1314,53,8,32,13,8,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,4,0,0,0,0,0,0,0,0,0,0,7,0,0,1,1,0,1,0,4,3,1,0,0,12,8,4,0,0,0,0,0,0,0,0,0,0,1
,Big Spring,24933,2046,847,883,316,813,151,602,60,5,4,1,0,0,0,0,6,23,17,3,0,3,0,0,2,0,107,31,182,0,0,69,34,32,3,0,0,0,0,412,0,1,77,0,1,101,6,226,54,9,17,0,274,210,64,0,0,0,0,0,3,1,1,0,0,38
,Blanco,1987,80,21,38,21,18,2,7,9,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,5,3,4,0,0,5,2,2,1,0,0,0,0,15,0,0,0,0,0,0,2,13,5,1,0,0,16,15,1,0,0,0,0,0,0,0,0,0,0,5
,Blue Mound,2302,26,5,16,5,4,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4,1,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,1,3,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,2
,Boerne,22163,719,148,380,191,140,13,110,17,0,0,0,0,0,0,0,0,8,5,0,0,3,0,0,1,0,61,9,71,2,0,19,7,4,8,0,0,0,0,182,0,0,45,9,0,6,10,112,33,1,1,0,166,137,29,0,0,0,0,0,3,2,1,1,0,20
,Bogata,1094,5,1,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
,Borger,12116,703,254,372,77,235,60,139,36,2,1,1,0,0,0,0,2,15,14,0,0,1,0,0,0,0,57,10,102,0,0,37,17,8,9,0,0,3,0,150,1,0,39,1,0,23,0,86,16,0,0,1,66,62,4,0,0,0,0,0,4,0,0,0,0,6
,Bovina,1635,16,9,5,2,7,2,4,1,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
,Bowie,5893,237,61,144,32,54,7,36,11,0,0,0,0,0,0,0,0,7,3,0,1,3,0,0,0,0,17,11,39,0,1,11,0,5,0,0,0,5,1,57,1,0,9,2,0,14,3,28,7,1,0,0,30,30,0,0,0,0,0,0,2,0,0,0,0,0
,Boyd,1606,69,16,17,36,16,3,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,0,0,1,0,1,0,0,0,0,0,8,0,0,0,1,0,1,1,5,0,0,0,0,27,27,0,0,0,0,0,0,0,0,0,0,0,9
,Brady,4964,186,77,72,37,74,10,60,4,0,0,0,0,0,0,0,0,3,1,0,0,2,0,0,2,0,20,1,11,0,0,4,0,2,1,0,0,1,0,29,0,0,13,3,0,2,1,10,4,0,1,2,35,35,0,0,0,0,0,0,0,0,0,0,0,0
,Brazoria,2827,78,21,53,4,20,2,13,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,39,0,0,0,3,0,9,0,27,8,0,0,0,2,1,1,1,0,1,0,0,0,0,0,0,0,1
,Breckenridge,5172,229,61,114,54,58,5,39,14,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,1,0,22,9,16,0,0,11,1,8,2,0,0,0,0,43,0,0,13,12,0,6,1,11,11,1,0,3,47,21,26,0,0,0,0,0,0,0,0,0,0,4
,Bremond,877,21,14,6,1,14,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,3,0,0,1,0,0,0,0,2,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
,Brenham,19047,1198,303,480,415,287,43,170,74,1,1,0,0,0,0,0,3,12,6,2,2,2,0,0,0,0,19,26,61,0,5,58,32,23,0,0,1,0,2,284,1,0,64,4,0,9,0,206,20,7,0,0,369,317,52,0,0,0,0,0,0,1,1,0,0,45
,Bridge City,9585,155,50,67,38,42,2,33,7,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,14,1,14,0,0,7,0,0,0,0,0,7,0,22,0,0,0,0,0,2,0,20,8,1,0,0,25,13,12,0,0,0,0,0,1,0,0,0,0,12
,Bridgeport,6523,348,55,112,181,53,4,47,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,10,11,35,0,0,4,2,1,1,0,0,0,0,45,0,0,0,0,0,3,0,42,7,0,0,0,166,85,81,0,0,0,0,0,0,0,0,0,0,15
,Brookshire,5755,174,51,111,12,43,8,26,9,1,1,0,0,0,0,0,0,7,6,1,0,0,0,0,1,0,6,4,22,0,0,14,4,4,6,0,0,0,0,34,0,0,1,3,0,7,6,17,22,3,5,1,8,8,0,0,0,0,0,0,1,0,0,0,0,2
,Brownfield,8624,403,153,180,70,150,31,106,13,0,0,0,0,0,0,0,0,3,2,0,0,1,0,0,0,0,27,0,40,0,0,4,0,2,2,0,0,0,0,90,0,0,12,14,0,14,4,46,18,1,0,0,64,64,0,0,0,0,0,0,1,0,0,0,0,5
,Brownsville,190590,10703,3656,6262,785,3530,587,1977,966,11,8,3,0,1,1,0,44,70,33,7,5,25,0,0,22,0,429,67,1384,26,6,585,242,113,6,0,25,192,7,3064,51,14,918,240,18,541,143,1139,407,111,161,12,606,492,114,0,0,0,0,0,25,33,30,3,0,109
,Brownwood,18652,1400,488,730,182,431,62,276,93,3,3,0,0,0,0,0,23,31,16,4,1,10,0,0,4,0,51,31,99,1,0,60,31,24,5,0,0,0,0,441,0,0,10,3,0,98,2,328,33,10,0,0,163,136,27,0,0,0,0,0,3,0,0,0,0,16
,Bruceville-Eddy,1459,31,8,17,6,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,0,0,1,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,2,3,0,0,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0
,Buda,16508,656,89,463,104,87,16,54,17,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,19,30,46,1,2,57,25,13,6,0,1,12,0,251,5,1,91,19,0,79,20,36,45,4,8,0,83,63,20,0,0,0,0,0,2,0,0,0,0,19
,Buffalo,1848,75,14,57,4,11,2,9,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,11,3,3,0,0,3,2,0,0,0,1,0,0,32,0,0,9,1,0,1,0,21,4,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1
,Bullard,4553,63,11,27,25,8,1,4,3,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,3,6,1,0,0,4,1,2,0,0,0,1,0,11,0,0,1,1,0,1,0,8,1,0,1,0,17,16,1,0,0,0,0,0,2,0,0,0,0,6
,Bulverde,6907,586,42,181,363,36,11,20,5,1,1,0,0,0,0,0,1,4,4,0,0,0,0,0,0,0,13,8,34,0,0,14,2,3,9,0,0,0,0,98,0,0,0,1,0,17,1,79,13,1,0,0,342,84,258,0,0,0,0,0,0,0,0,0,0,21
,Burkburnett,11166,295,109,132,54,93,12,63,18,2,2,0,0,0,0,0,0,14,10,2,0,2,0,0,0,0,10,5,38,0,0,20,9,11,0,0,0,0,0,46,0,0,2,1,0,13,0,30,13,0,0,1,47,37,10,0,0,0,0,0,1,0,0,0,0,5
,Burleson,56307,1984,504,1078,402,472,80,356,36,0,0,0,0,0,0,0,4,28,16,3,5,4,0,0,2,0,84,48,117,10,0,192,39,47,2,0,0,104,0,548,0,0,231,38,1,126,27,125,69,7,1,5,338,277,61,0,0,0,0,0,19,0,0,0,0,40
,Burnet,6841,327,77,92,158,72,6,50,16,0,0,0,0,0,0,0,2,3,0,0,1,2,0,0,1,0,9,13,18,0,0,7,6,1,0,0,0,0,0,35,0,0,1,5,0,5,0,24,8,0,1,0,148,102,46,0,0,0,0,0,1,0,0,0,0,9
,Cactus,3058,184,71,56,57,67,13,53,1,0,0,0,0,0,0,0,0,4,3,0,1,0,0,0,0,0,1,3,20,0,0,11,8,0,2,0,0,1,0,19,0,1,4,1,0,0,1,12,2,0,0,0,54,34,20,0,0,0,0,0,1,1,0,1,0,1
,Caddo Mills,5344,53,18,24,11,15,2,12,1,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,5,2,4,0,0,4,1,1,0,0,1,1,0,6,0,0,0,1,0,1,0,4,2,0,1,1,7,6,1,0,0,0,0,0,1,0,0,0,0,2
,Caldwell,4520,108,29,53,26,26,5,18,3,0,0,0,0,1,1,0,0,2,1,0,0,1,0,0,0,0,9,2,5,0,0,9,5,1,1,0,1,1,0,23,6,0,3,2,1,3,0,8,5,0,0,1,21,20,1,0,0,0,0,0,1,0,0,0,0,3
,Calvert,969,68,14,40,14,14,7,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,5,0,0,0,0,0,0,0,0,0,0,11,0,0,1,0,0,3,0,7,3,0,3,0,9,8,1,0,0,0,0,0,0,0,0,0,0,5
,Cameron,5472,105,31,69,5,29,4,24,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,1,0,19,3,11,0,0,4,0,1,0,0,0,3,0,23,1,1,4,2,0,2,1,12,8,0,0,0,3,2,1,0,0,0,0,0,0,1,1,0,0,1
,Canton,4726,228,36,168,24,33,4,29,0,1,0,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,31,7,18,0,0,9,4,2,0,0,1,2,0,94,0,2,45,2,0,9,2,34,9,0,0,0,20,18,2,0,0,0,0,0,0,0,0,0,0,4
,Canyon,16211,388,104,206,78,100,22,58,20,0,0,0,0,0,0,0,0,4,1,0,0,3,0,0,1,0,17,4,46,0,0,35,5,22,8,0,0,0,0,92,0,0,22,8,1,34,1,26,10,0,1,3,63,20,43,0,0,0,0,0,2,0,0,0,0,10
,Carrollton,134261,5357,1019,2601,1737,947,153,672,122,11,6,5,0,0,0,0,15,46,32,2,0,12,0,0,6,2,211,43,156,4,1,314,31,77,131,0,1,74,0,1570,7,5,341,24,5,448,191,549,257,35,2,2,1454,636,818,0,0,0,0,0,30,5,1,1,3,246
,Carthage,6565,448,167,268,13,158,25,105,28,0,0,0,0,0,0,0,0,9,6,0,0,3,0,0,3,0,17,13,46,0,0,24,3,13,8,0,0,0,0,153,2,3,34,7,1,32,1,73,9,2,1,0,8,8,0,0,0,0,0,0,1,0,0,0,0,4
,Castle Hills,3909,408,37,208,163,36,8,18,10,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,12,17,36,0,1,5,3,1,1,0,0,0,0,97,0,0,0,1,0,14,5,77,35,4,1,0,133,52,81,0,0,0,0,0,0,0,0,0,0,30
,Castroville,3138,128,15,88,25,15,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,13,0,0,10,4,4,2,0,0,0,0,50,0,0,26,0,0,4,1,19,4,0,0,1,22,22,0,0,0,0,0,0,0,0,0,0,0,2
,Cedar Hill,48247,2120,369,1310,441,354,63,263,28,1,1,0,0,0,0,0,2,12,5,3,0,4,0,0,2,0,114,13,224,13,0,111,20,59,0,0,0,31,1,693,5,1,225,35,0,141,56,230,124,16,0,0,323,120,203,0,0,0,0,0,2,0,0,0,0,116
,Cedar Park,77464,2922,661,1385,876,591,42,458,91,1,1,0,0,0,0,0,0,69,36,1,3,29,0,0,2,0,84,32,23,2,1,147,19,53,1,0,0,69,5,977,1,3,328,13,0,236,26,370,107,9,1,3,826,796,30,0,0,0,0,0,2,0,0,0,0,45
,Celina,24571,783,173,409,201,165,21,107,37,1,1,0,0,0,0,0,0,7,6,0,0,1,0,0,5,0,59,12,37,0,1,81,49,7,11,0,2,10,2,208,0,0,1,2,0,11,2,192,6,0,0,0,173,73,100,0,0,0,0,0,12,0,0,0,0,16
,Center,5124,391,95,178,118,92,24,67,1,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,22,5,26,0,0,19,8,5,2,0,3,1,0,97,0,1,32,1,0,9,0,54,7,1,1,0,105,72,33,0,0,0,0,0,0,1,0,1,0,12
,Chandler,3577,41,3,30,8,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,0,0,1,0,1,0,0,0,0,0,15,0,0,1,0,0,3,0,11,6,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0
